ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
O95400,248.2,154.2,248.3,134.5,257.7,205.4,230,132.2,218.4,249.1,98.6,158.6,140.4,170,143.9
Q13137,13.9,8.4,10.5,7,13.3,9.2,11.4,12.2,11.3,10.9,10.2,12.7,5.4,3.4,3.6
Q5JSL3,15.6,13.5,8.6,15.9,9.8,10,13,13.5,11.7,12,12.7,10.2,17.2,7.7,12.7
Q96DU7,106.4,35.3,98.7,29.6,43.2,83.1,82.7,34.5,45.9,86,36.3,104.6,123.5,31.3,23.2
P61077,141.7,56.1,49.9,111.6,27.8,89.7,90.5,67.8,37.6,62.9,51,70.8,71.6,29.6,37.8
O75179,267.3,126.7,161.5,117.1,129.4,213.7,242.3,119.9,147.3,168.8,124.4,162.3,83.3,72.6,67.9
Q6IEG0,156.3,96.2,151.4,87.4,160,134.9,141.2,105.2,139.6,171.4,85.3,102.1,43,57.6,54.7
O43399,148.4,86.8,161.3,81.8,166.7,111.6,150,99.7,143.3,150,73.3,147.5,32.9,34.9,32.2
Q92844,98.3,55.2,85.8,68.9,64.6,83.4,92.4,52.6,70.7,73.8,75.9,85.2,46.1,48.1,54.1
P46939,164.7,85,178.2,99.2,117.6,128.8,149,88.9,105.2,138.5,94.7,184.3,75.6,88.4,89.2
O15230,9.1,23.3,10.2,14.7,8.6,3.9,7.5,24.7,7.8,7.4,24.1,18.2,31.5,35.5,45.3
P61081,632.1,218.2,455.2,311.3,161.3,492.3,458.1,248.2,180.1,361.1,186,524.2,209.5,176.9,186.2
